,precision,recall,f1-score,support
Anger,0.775766016713092,0.8435133770822817,0.8082224909310762,1981.0
Fear,0.9809332664325138,0.9873737373737373,0.9841429650138435,1980.0
Joy,0.795249406175772,0.8450277637556789,0.8193832599118943,1981.0
Love,0.8499005964214712,0.8632004038364463,0.8564988730277987,1981.0
Neutral,0.6928480204342273,0.5477031802120141,0.6117846067098957,1981.0
Sadness,0.9158150851581508,0.95002523977789,0.9326065411298315,1981.0
accuracy,0.8394615061001263,0.8394615061001263,0.8394615061001263,0.8394615061001263
macro avg,0.8350853985558713,0.8394739503396748,0.8354397894540567,11885.0
weighted avg,0.8350731269641273,0.8394615061001263,0.8354272776176613,11885.0
